         8319170 function calls (8259836 primitive calls) in 50.108 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:311(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:337(Parser)
        1    0.000    0.000    0.000    0.000 ImageFile.py:568(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:579(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:80(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:25(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(<module>)
        1    0.000    0.000    0.000    0.000 NodeFilter.py:4(NodeFilter)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1036(_idat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1047(_fdat)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      114    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:381(_populate)
        1    0.000    0.000    0.000    0.000 __about__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __about__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
      108    0.003    0.000    2.132    0.020 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:100(NotSupportedErr)
        2    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:103(InuseAttributeErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1042(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:105(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1051(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:106(InvalidStateErr)
        1    0.000    0.000    0.000    0.000 __init__.py:106(__version__)
        1    0.000    0.000    0.000    0.000 __init__.py:109(SyntaxErr)
       29    0.000    0.000    0.051    0.002 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1095(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1111(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1115(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1116(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(FileHandler)
        2    0.000    0.000    0.000    0.000 __init__.py:1128(resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
        4    0.000    0.000    0.000    0.000 __init__.py:122(_declare_state)
       11    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        8    0.000    0.000    0.000    0.000 __init__.py:1230(append)
        1    0.000    0.000    0.000    0.000 __init__.py:124(UserDataHandler)
       37    0.000    0.000    0.005    0.000 __init__.py:1252(_add_data_doc)
        1    0.000    0.000    0.000    0.000 __init__.py:1260(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1265(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:1276(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1280(disable)
        1    0.000    0.000    0.000    0.000 __init__.py:1283(<dictcomp>)
       44    0.000    0.000    0.001    0.000 __init__.py:1284(getLogger)
       72    0.001    0.000    0.009    0.000 __init__.py:1287(_preprocess_data)
        1    0.000    0.000    0.000    0.000 __init__.py:129(InvalidVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:129(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:13(IntCastingNaNError)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
      532    0.000    0.000    0.002    0.000 __init__.py:1304(safe_name)
      552    0.001    0.000    0.014    0.000 __init__.py:1312(safe_version)
       19    0.000    0.000    0.000    0.000 __init__.py:1325(_to_unmasked_float_array)
       19    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       43    0.000    0.000    0.000    0.000 __init__.py:1335(_fixupParents)
        1    0.000    0.000    0.000    0.000 __init__.py:135(_BaseVersion)
        3    0.000    0.000    0.000    0.000 __init__.py:1359(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:137(DocstoreSplitter)
        1    0.000    0.000    0.000    0.000 __init__.py:1370(NullProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1372(_clear_cache)
        2    0.000    0.000    0.000    0.000 __init__.py:1377(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:138(_check_versions)
        2    0.000    0.000    0.000    0.000 __init__.py:1381(get_resource_filename)
        1    0.000    0.000    0.000    0.000 __init__.py:1389(Logger)
      273    0.000    0.000    0.004    0.000 __init__.py:1393(_get_metadata_path)
      250    0.000    0.000    0.005    0.000 __init__.py:1396(has_metadata)
       23    0.000    0.000    0.001    0.000 __init__.py:1403(get_metadata)
       44    0.000    0.000    0.000    0.000 __init__.py:1404(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:141(_check_size)
       23    0.000    0.000    0.001    0.000 __init__.py:1416(get_metadata_lines)
        2    0.000    0.000    0.000    0.000 __init__.py:1417(setLevel)
     1849    0.001    0.000    0.002    0.000 __init__.py:1424(debug)
        4    0.000    0.000    0.000    0.000 __init__.py:144(__lt__)
        1    0.000    0.000    0.000    0.000 __init__.py:147(EventType)
      275    0.000    0.000    0.004    0.000 __init__.py:1472(_fn)
      275    0.000    0.000    0.003    0.000 __init__.py:1478(_validate_resource_path)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
        6    0.000    0.000    0.000    0.000 __init__.py:15(search_path)
       16    0.000    0.000    0.000    0.000 __init__.py:152(use_docstore)
       57    0.000    0.000    0.000    0.000 __init__.py:153(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:153(py_object)
       16    0.000    0.000    0.000    0.000 __init__.py:1564(_parents)
        1    0.000    0.000    0.000    0.000 __init__.py:1575(EggProvider)
        2    0.000    0.000    0.000    0.000 __init__.py:1578(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1582(_setup_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:1595(DefaultProvider)
      250    0.000    0.000    0.001    0.000 __init__.py:1598(_has)
        3    0.000    0.000    0.000    0.000 __init__.py:1601(addHandler)
       23    0.000    0.000    0.001    0.000 __init__.py:1610(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:1614(_register)
        1    0.000    0.000    0.000    0.000 __init__.py:162(__ge__)
        1    0.000    0.000    0.000    0.000 __init__.py:162(c_short)
        1    0.000    0.000    0.001    0.001 __init__.py:162(get_supported_platform)
        1    0.000    0.000    0.000    0.000 __init__.py:1625(EmptyProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:1638(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1645(ZipManifests)
        1    0.000    0.000    0.000    0.000 __init__.py:165(Migrator)
       87    0.000    0.000    0.001    0.000 __init__.py:166(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:166(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1672(MemoizedZipManifests)
        6    0.000    0.000    0.000    0.000 __init__.py:1675(getEffectiveLevel)
     2946    0.001    0.000    0.001    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.000    0.000 __init__.py:1692(ZipProvider)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:170(MergeError)
        1    0.000    0.000    0.000    0.000 __init__.py:170(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(<listcomp>)
       22    0.000    0.000    0.001    0.000 __init__.py:172(flex_method_SERIES)
     1263    0.001    0.000    0.004    0.000 __init__.py:174(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:174(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:1743(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1749(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:177(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Node)
       52    0.000    0.000    0.001    0.000 __init__.py:180(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 __init__.py:183(AbstractMethodError)
      384    0.000    0.000    0.002    0.000 __init__.py:183(_migrate)
        1    0.000    0.000    0.000    0.000 __init__.py:183(c_int)
        2    0.000    0.000    0.001    0.000 __init__.py:183(dumps)
        1    0.000    0.000    0.000    0.000 __init__.py:1868(FileMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:187(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:1877(CallWrapper)
       33    0.000    0.000    0.000    0.000 __init__.py:1879(_str_equal)
        2    0.000    0.000    0.000    0.000 __init__.py:1880(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1886(has_metadata)
        2    0.000    0.000    0.000    0.000 __init__.py:1889(get_metadata)
       32    0.000    0.000    0.000    0.000 __init__.py:1890(_str_lower_equal)
        2    0.000    0.000    0.000    0.000 __init__.py:1898(_warn_on_replacement)
        1    0.000    0.000    0.000    0.000 __init__.py:1899(XView)
        1    0.000    0.000    0.011    0.011 __init__.py:19(<module>)
       12    0.000    0.000    0.002    0.000 __init__.py:1901(_define_aliases)
        2    0.000    0.000    0.000    0.000 __init__.py:1905(get_metadata_lines)
        1    0.000    0.000    0.000    0.000 __init__.py:1909(PathMetadata)
        1    0.000    0.000    0.000    0.000 __init__.py:191(Event)
        1    0.000    0.000    0.000    0.000 __init__.py:191(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:1920(YView)
       82    0.000    0.000    0.002    0.000 __init__.py:1922(make_alias)
      530    0.000    0.000    0.000    0.000 __init__.py:1929(__init__)
       51    0.000    0.000    0.000    0.000 __init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1934(EggMetadata)
        2    0.000    0.000    0.000    0.000 __init__.py:194(__getattr__)
       14    0.000    0.000    0.001    0.000 __init__.py:194(warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:1941(Wm)
       12    0.000    0.000    0.000    0.000 __init__.py:1942(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1943(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:195(c_double)
        4    0.000    0.000    0.000    0.000 __init__.py:1952(register_finder)
       14    0.000    0.000    0.000    0.000 __init__.py:1962(find_distributions)
        1    0.000    0.000    0.000    0.000 __init__.py:198(set_testing_mode)
        6    0.000    0.000    0.000    0.000 __init__.py:199(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:199(c_longdouble)
        2    0.000    0.000    0.000    0.000 __init__.py:1999(find_nothing)
        8    0.000    0.000    0.059    0.007 __init__.py:2(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2(EntityType)
       48    0.000    0.000    0.000    0.000 __init__.py:2(register)
       12    0.000    0.000    0.065    0.005 __init__.py:2006(_by_version_descending)
       44    0.000    0.000    0.001    0.000 __init__.py:2018(getLogger)
      532    0.001    0.000    0.044    0.000 __init__.py:2021(_by_version)
      532    0.001    0.000    0.042    0.000 __init__.py:2027(<listcomp>)
      544    0.001    0.000    0.111    0.000 __init__.py:2032(find_on_path)
     1796    0.001    0.000    0.004    0.000 __init__.py:2044(<genexpr>)
      544    0.001    0.000    0.009    0.000 __init__.py:2052(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:206(NumbaUtilError)
     2316    0.002    0.000    0.009    0.000 __init__.py:2067(dist_factory)
        1    0.000    0.000    0.000    0.000 __init__.py:2087(NoDists)
     1252    0.000    0.000    0.000    0.000 __init__.py:2095(__bool__)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
