         6205180 function calls (6143189 primitive calls) in 2618.830 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9709    0.004    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
1686/1685    0.007    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     1685    0.002    0.000    0.103    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
     5110    0.003    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      179    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
     1432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      101    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1481(find_loader)
     1624    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     3009    0.025    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
     4473    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      179    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      637    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
      179    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
     1803    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
     2824    0.011    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     1624    0.003    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
1414/1413    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      101    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:536(_find_module_shim)
     1412    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
     1412    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     1412    0.004    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     3009    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
     1624    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
     4236    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:831(is_package)
     1412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:839(create_module)
   1412/4    0.004    0.000    2.698    0.675 <frozen importlib._bootstrap_external>:842(exec_module)
     1412    0.013    0.000    0.271    0.000 <frozen importlib._bootstrap_external>:914(get_code)
      179    0.001    0.000    0.002    0.000 <frozen zipimport>:63(__init__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
       13    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.001    0.001 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1140(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1254(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1366(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1488(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1751(C14NWriterTarget)
